Tipo_Movimiento,Zona,Departamento,Fecha,Monto_Miles_USD
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Ago,1190.6
Exportaciones (FOB),Zona Oriental,La Unión,2025-Ago,7.93
Exportaciones (FOB),Zona Oriental,Morazán,2025-Ago,162.77
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Ago,1502.83
Exportaciones (FOB),Zona Oriental,Usulután,2025-Ago,11.89
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Ago,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Ago,1537.15
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Ago,0.0
Exportaciones (FOB),Zona Central,Chalatenango,2025-Sep,21.5
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Sep,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Sep,31427.2
Exportaciones (FOB),Zona Central,San Salvador,2025-Sep,469950.01
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Sep,29.68
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Sep,7754.34
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Sep,1782.84
Exportaciones (FOB),Zona Oriental,La Unión,2025-Sep,13.37
Exportaciones (FOB),Zona Oriental,Morazán,2025-Sep,84.21
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Sep,1416.94
Exportaciones (FOB),Zona Oriental,Usulután,2025-Sep,26.16
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Sep,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Sep,4467.71
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Sep,0.0
Exportaciones (FOB),Zona Central,Chalatenango,2025-Oct,24.4
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Oct,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Oct,29552.66
Exportaciones (FOB),Zona Central,San Salvador,2025-Oct,491719.02
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Oct,38.76
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Oct,6553.34
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Oct,1240.51
Exportaciones (FOB),Zona Oriental,La Unión,2025-Oct,17.19
Exportaciones (FOB),Zona Oriental,Morazán,2025-Oct,66.9
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Oct,1194.54
Exportaciones (FOB),Zona Oriental,Usulután,2025-Oct,16.28
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Oct,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Oct,5815.03
