Concepto,2025-Mar,2025-Abr,2025-May,2025-Jun,2025-Jul,2025-Ago,2025-Sep,2025-Oct,2025-Nov,2025-Dic,2026-Ene,2026-Feb,2026-Mar,Zona,Departamento,Tipo_Movimiento
2.4.4.1.2 Bolívar,14.43,25.12,23.4,26.8,41.94,6.04,3.81,20.06,7.71,12.35,44.59,5.39,2.96,,,
2.4.4.1.3 Concepción de Oriente,110.04,7.49,8.86,8.08,97.52,6.53,8.31,19.28,16.13,17.59,10.82,9.31,9.1,,,
2.4.4.1.4 El Sauce,884.43,1033.78,973.21,1002.93,1094.48,1078.79,916.86,1084.53,965.06,1071.38,974.35,1202.56,1609.19,,,
2.4.4.1.5 Lislique,26.69,19.87,0.02,0.43,0,0.8,17.21,0.52,0.91,0.47,0.23,3.3,0.22,,,
2.4.4.1.6 Nueva Esparta,266.91,364.4,366.4,259.93,187.88,401.47,277.09,444.03,420.07,444.11,402.56,445.94,404.19,,,
2.4.4.1.7 Pasaquina,481.79,567.74,653.77,642.59,1013.6,782.95,826.48,850.22,920.11,847.62,640.87,386.57,396.59,,,
2.4.4.1.8 Polorós,35.3,27.11,91.37,23.42,79.97,26.77,95.49,47.55,46.14,52.39,25.68,28.05,54.58,,,
2.4.4.1.9 San José la Fuente,56.71,55.12,57.83,56.49,57.01,115.67,76.09,56.87,57.27,66.6,56.58,50.57,56,,,
2.4.4.1.10 Santa Rosa de Lima,1965.42,1475.52,1786.26,1143.69,1738.72,1476.3,1757.39,1877.96,1927.98,1395.2,1659.13,1567.51,1980.32,,,
2.4.4.2 La Unión Sur,1348.59,2435.92,1325.93,1091.29,1166.23,926.33,2074.19,1336.51,1822.58,841.4,1621.01,1489.86,1115.71,,,
2.4.4.2.1 Conchagua,23.17,32.96,23.91,22.96,26.34,31.05,41.41,31.27,56.71,36.51,48.64,31.2,66.68,,,
2.4.4.2.2 El Carmen,32.56,39.4,33.98,10.45,15.14,66.83,45.42,48.54,38.2,28.49,11.44,7.3,9.27,,,
2.4.4.2.3 Intipucá,44.63,57.88,17.41,64.49,8.81,6.28,2.83,3.54,10.2,3.63,6.5,12.4,14.07,,,
2.4.4.2.4 La Unión,1129.4,2197.94,1173.59,899.81,1008.25,626.92,1876.82,1124.49,1590.52,667.42,1480.15,1372.82,929.83,,,
2.4.4.2.5 Meanguera del Golfo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.4.4.2.6 San Alejo,46.08,27.12,38.71,37.18,43.04,145.01,58.07,31.6,73.25,40.14,36.77,30.1,43.68,,,
2.4.4.2.7 Yayantique,7.07,3.39,4.3,4.76,8.1,5.65,6.66,56.38,7.61,12.4,4.67,4.39,4.52,,,
2.4.4.2.8 Yucuaiquín,65.69,77.22,34.02,51.64,56.55,44.59,42.98,40.7,46.09,52.81,32.84,31.65,47.66,,,
2.5 Área geográfica no especificada,24639.95,26601.3,29379.71,34351.16,42198.17,44116.66,55807,76076.77,75328.14,79040.95,51197.3,53793.91,69229.55,,,
nan,,,,,,,,,,,,,,,,
"Notas Relevantes
 (p) Cifras preliminares
 Fuente: BCR - Departamento del Sector Externo con datos suministrados por la Dirección General de Aduanas y distribuidoras de combustibles y con tratamiento metodológico de Balanza de Pagos.
 Nota técnica: El área geográfica se determina con base en el documento de identificación del exportador o importador.
 Las estadísticas individuales de instituciones, entidades y personas son datos confidenciales, de conformidad con la Ley Orgánica del Banco Central de Reserva.
 Las estadísticas de Comercio Internacional de Mercancías comprenden una máxima desagregación por incisos arancelarios del SAC (a 10 dígitos). El detalle por incisos está disponible en la Base de Datos Pormenorizada: https://www.bcr.gob.sv/comex/bd_comercio.php",,,,,,,,,,,,,,,,
