Concepto,2025-Mar,2025-Abr,2025-May,2025-Jun,2025-Jul,2025-Ago,2025-Sep,2025-Oct,2025-Nov,2025-Dic,2026-Ene,2026-Feb,2026-Mar,Zona,Departamento,Tipo_Movimiento
1.2.3.5.2 Rosario de Mora,0,0,0,0,0,0,7.57,0,0,0,0,0,0,,,
1.2.3.5.3 San Marcos,105.54,69.19,50.57,40.96,96.15,46.22,24.02,99.56,118.05,64.46,16.09,90.13,0,,,
1.2.3.5.4 Santiago Texacuangos,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.5.5 Santo Tomás,0.4,0,0.9,0,0,0,0,6.73,1.9,0,0,0,0,,,
1.2.4.1 Cuscatlán Norte,0,0,0.75,0,0,0,0,0,0,0,179,0.78,0,,,
1.2.4.1.1 Oratorio de Concepción,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.1.2 San Bartolomé Perulapía,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.1.3 San José Guayabal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.1.4 San Pedro Perulapán,0,0,0.75,0,0,0,0,0,0,0,0,0.78,0,,,
1.2.4.1.5 Suchitoto,0,0,0,0,0,0,0,0,0,0,179,0,0,,,
1.2.4.2 Cuscatlán Sur,0,0,0,24.5,6.57,0,0,0,0.9,0,0,0,0,,,
1.2.4.2.1 Candelaria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.2 Cojutepeque,0,0,0,24.5,6.57,0,0,0,0.9,0,0,0,0,,,
1.2.4.2.3 El Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.4 El Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.5 Monte San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.6 San Cristóbal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.7 San Rafael Cedros,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.8 San Ramón,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.9 Santa Cruz Analquito,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.10 Santa Cruz Michapa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.4.2.11 Tenancingo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1 La Paz Centro,0,0.39,0,0,0,0,0,0,0,0,0,13.75,0,,,
1.3.1.1.1 El Rosario,0,0,0,0,0,0,0,0,0,0,0,13.75,0,,,
1.3.1.1.2 Jerusalén,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.3 Mercedes la Ceiba,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.4 Paraíso de Osorio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.5 San Antonio Masahuat,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.6 San Emigdio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.7 San Juan Tepezontes,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.8 San Miguel Tepezontes,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.9 San Pedro Nonualco,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.10 Santa María Ostuma,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.11 Santiago Nonualco,0,0.39,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.1.12 San Luis la Herradura,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.2 La Paz Este,2781.68,4381.31,5342.52,5452.1,4958.72,1335.6,3943.26,5652.69,4430.45,4789.82,4603.65,5518.44,5523.9,,,
1.3.1.2.1 San Juan Nonualco,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.2.2 San Rafael Obrajuelo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.2.3 Zacatecoluca,2781.68,4381.31,5342.52,5452.1,4958.72,1335.6,3943.26,5652.69,4430.45,4789.82,4603.65,5518.44,5523.9,,,
1.3.1.3 La Paz Oeste,16.97,126,4.79,204.15,47.49,201.55,524.45,162.35,15.3,38.56,1545.28,42.86,559.68,,,
1.3.1.3.1 Cuyultitán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.3.2 Olocuilta,0,0,4.79,0,6.9,31.49,154.33,162.35,0,0,19.68,42.86,94.16,,,
1.3.1.3.3 San Francisco Chinameca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.3.4 San Juan Talpa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.3.5 San Luis Talpa,16.97,126,0,204.15,40.59,170.06,370.12,0,15.3,38.56,1525.6,0,465.52,,,
1.3.1.3.6 San Pedro Masahuat,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.1.3.7 Tapalhuaca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.2.1 Cabañas Este,0,21.33,0,0,0,0,0,0,0,0,21.45,1.15,0,,,
1.3.2.1.1 Guacotecti,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.2.1.2 San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.2.1.3 Sensuntepeque,0,21.33,0,0,0,0,0,0,0,0,21.45,1.15,0,,,
1.3.2.1.4 Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.2.1.5 Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.2.2 Cabañas Oeste,0,0,4,7.57,43.69,0,0,0,1.06,0,0,0,0,,,
1.3.2.2.1 Cinquera,0,0,0,6,0,0,0,0,0,0,0,0,0,,,
1.3.2.2.2 Ilobasco,0,0,4,0.78,8.62,0,0,0,1.06,0,0,0,0,,,
1.3.2.2.3 Jutiapa,0,0,0,0.78,35.07,0,0,0,0,0,0,0,0,,,
1.3.2.2.4 Tejutepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1 San Vicente Norte,0,0,0,6.58,2.41,0,0,0,0,0,0,0,0,,,
1.3.3.1.1 Apastepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1.2 Santa Clara,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1.3 Santo Domingo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1.4 San Esteban Catarina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1.5 San Ildefonso,0,0,0,6.58,2.41,0,0,0,0,0,0,0,0,,,
1.3.3.1.6 San Lorenzo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.1.7 San Sebastián,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.2 San Vicente Sur,158.32,87.3,37.92,25.63,16.09,0,0,0,2.71,0,102.18,120.66,140.45,,,
1.3.3.2.1 Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.2.2 San Cayetano Istepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.2.3 San Vicente,158.32,87.3,37.92,25.63,16.09,0,0,0,2.71,0,102.18,120.66,140.45,,,
1.3.3.2.4 Tecoluca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.2.5 Tepetitán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.3.3.2.6 Verapaz,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1 Usulután Este,0,0,0,0,0,0,0,0,1.2,0,0,0.78,0,,,
1.4.1.1.1 California,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.2 Concepción Batres,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.3 Ereguayquín,0,0,0,0,0,0,0,0,1.2,0,0,0,0,,,
1.4.1.1.4 Jucuarán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.5 Ozatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.6 San Dionisio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.7 Santa Elena,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.8 Santa María,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.9 Tecapán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.1.10 Usulután,0,0,0,0,0,0,0,0,0,0,0,0.78,0,,,
1.4.1.2 Usulután Norte,13.21,11.95,12.2,17.64,29.69,11.89,21.06,16.28,16.58,13.78,17.72,25.34,23.75,,,
1.4.1.2.1 Alegría,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.2 Berlín,0,0,0,0,0,0,0,0,4,0,0,0,0,,,
1.4.1.2.3 El Triunfo,0,0,0,0,3.02,0,0,0,0,0,0,0,0,,,
1.4.1.2.4 Estanzuelas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.5 Jucuapa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.6 Mercedes Umaña,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.7 Nueva Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.8 San Buenaventura,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.2.9 Santiago de María,13.21,11.95,12.2,17.64,26.67,11.89,21.06,16.28,12.58,13.78,17.72,25.34,23.75,,,
1.4.1.3 Usulután Oeste,5.92,3.9,0,0,9.34,0,5.1,0,3.1,20.04,0,6.15,4.9,,,
1.4.1.3.1 Jiquilisco,5.92,3.9,0,0,9.34,0,5.1,0,3.1,20.04,0,6.15,4.9,,,
1.4.1.3.2 Puerto el Triunfo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.3.3 San Agustín,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.1.3.4 San Francisco Javier,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.1 San Miguel Centro,496.15,1108.04,674.32,1876.2,2106.53,349.45,783.81,1029.07,759.96,1196.83,961.64,808.38,698.58,,,
1.4.2.1.1 Comacarán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.1.2 Chirilagua,131.78,0,0,0,0,0,0,229.78,80.9,75.45,0,0,0,,,
1.4.2.1.3 Moncagua,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.1.4 Quelepa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.1.5 San Miguel,364.37,1108.04,671.95,1876.2,2106.53,349.45,783.81,799.3,676.7,1121.38,961.64,808.38,698.58,,,
1.4.2.1.6 Uluazapa,0,0,2.37,0,0,0,0,0,2.37,0,0,0,0,,,
1.4.2.2 San Miguel Norte,1552.26,1201.91,1609.29,1391.22,1358.41,1153.38,633.13,165.47,0,465.86,1942.36,868.93,2300.89,,,
1.4.2.2.1 Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.2 Ciudad Barrios,1552.26,1201.91,1609.29,1391.22,1358.41,1153.38,633.13,165.47,0,465.86,1942.36,868.93,2300.89,,,
1.4.2.2.3 Chapeltique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.4 Nuevo Edén de San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.5 San Antonio del Mosco,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.6 San Gerardo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.7 San Luis de la Reina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.2.8 Sesori,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3 San Miguel Oeste,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.1 Chinameca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.2 El Tránsito,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.3 Lolotique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.4 Nueva Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.5 San Jorge,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.2.3.6 San Rafael Oriente,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1 Morazán Norte,0,0,201.57,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.1 Arambala,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.2 Cacaopera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.3 Corinto,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.4 El Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.5 Joateca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.6 Jocoaitique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.7 Meanguera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.8 Perquín,0,0,201.57,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.9 San Fernando,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.10 San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.1.11 Torola,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2 Morazán Sur,18.8,169.96,18.75,17.35,21.93,162.77,84.21,66.9,49,18.43,42.72,260.17,33.87,,,
1.4.3.2.1 Chilanga,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.2 Delicias de Concepción,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.3 El Divisadero,0,0,0,0,0,0,0,0,31.3,0,28.85,0,0,,,
1.4.3.2.4 Gualococti,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.5 Guatajiagua,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.6 Jocoro,0,0,0,0.7,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.7 Lolotiquillo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.8 Osicala,0,147.84,0,0,0,147.84,40.69,0,0,0,0,0,0,,,
1.4.3.2.9 San Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.10 San Francisco Gotera,18.8,22.12,18.75,16.5,21.78,14.7,42.35,66.75,14,15.75,13.88,260.06,33.87,,,
1.4.3.2.11 San Simón,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.12 Sensembra,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.13 Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.14 Yamabal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.3.2.15 Yoloaiquín,0,0,0,0.15,0.15,0.23,1.17,0.15,3.7,2.68,0,0.1,0,,,
1.4.4.1 La Unión Norte,12.03,29.74,13.48,5.3,6.37,7.93,10.61,17.19,13.39,12.16,26.66,13.49,15.31,,,
1.4.4.1.1 Anamorós,4.89,4.56,5.68,2.88,3.99,6.46,4.52,7.46,7.82,8.26,8.51,9.49,10.51,,,
1.4.4.1.2 Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.3 Concepción de Oriente,5.21,21.83,4.12,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.4 El Sauce,0.22,0.32,0.21,0.24,0.22,0.25,0.24,0.27,0.27,0.14,11.86,0.27,0.24,,,
1.4.4.1.5 Lislique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.6 Nueva Esparta,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.7 Pasaquina,1.17,0,0.37,2.18,0,0.29,0.84,0.29,0.99,0.29,0,0.29,0.29,,,
1.4.4.1.8 Polorós,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.9 San José la Fuente,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.1.10 Santa Rosa de Lima,0.55,3.04,3.09,0,2.16,0.93,5.01,9.17,4.31,3.48,6.29,3.44,4.26,,,
1.4.4.2 La Unión Sur,59.84,3.71,3.13,0,2.53,0,2.76,0,57.14,0,0,0,0.65,,,
1.4.4.2.1 Conchagua,0.58,0.59,1.15,0,2.53,0,0,0,0,0,0,0,0.65,,,
1.4.4.2.2 El Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.2.3 Intipucá,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.2.4 La Unión,0,0,1.98,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.2.5 Meanguera del Golfo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.2.6 San Alejo,59.26,3.11,0,0,0,0,2.76,0,57.14,0,0,0,0,,,
1.4.4.2.7 Yayantique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.4.4.2.8 Yucuaiquín,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.1 Zona Occidental,37650.75,37924.57,40705.51,36740.15,42438.89,37204.52,41158.32,45016.9,40452.86,35852.29,38846.48,36252.65,42989.19,,,
2.1.1 Ahuachapán,1433.81,2699.32,2101.88,1820.14,3041.16,1898,2056.33,3001.25,1801.97,1564.16,1893.76,1917.1,2104.68,,,
2.1.1.1 Ahuachapán Centro,733.96,836.23,930.87,998.98,1267.27,1122.76,956.67,1869.65,775.33,873.6,809.3,1004.73,666.31,,,
2.1.1.1.1 Ahuachapán,595.81,679.42,752.86,755.3,1039.31,820.68,749.09,1649.02,507.26,763.73,803.16,996.56,645.6,,,
2.1.1.1.2 Apaneca,0,0,0,0,5.22,0.17,0,0,0,11.12,0,0,0,,,
2.1.1.1.3 Concepción de Ataco,138.16,156.8,178.01,243.68,222.74,300.74,207.59,220.63,263.45,98.75,6.14,8.17,20.72,,,
2.1.1.1.4 Tacuba,0,0,0,0,0,1.17,0,0,4.62,0,0,0,0,,,
2.1.1.2 Ahuachapán Norte,339.19,1398.89,733.9,490.92,1386.36,426.02,647.04,692.37,632.41,322.44,827.11,562.07,1081.99,,,
2.1.1.2.1 Atiquizaya,312.62,1357.66,694.45,436.72,1332.13,397.04,608.12,650.27,566.67,286.01,787.58,451.15,1041.6,,,
2.1.1.2.2 El Refugio,20.07,21.98,16.91,18.14,19.5,20.08,32.18,9.34,47.05,20.11,17.39,62.11,40.39,,,
2.1.1.2.3 San Lorenzo,0,10.84,0,0,0,8.9,0,0,0,2.66,0,2.44,0,,,
2.1.1.2.4 Turín,6.5,8.41,22.54,36.06,34.73,0,6.74,32.76,18.68,13.67,22.13,46.37,0,,,
2.1.1.3 Ahuachapán Sur,360.65,464.19,437.11,330.24,387.54,349.22,452.62,439.23,394.23,368.12,257.36,350.31,356.37,,,
2.1.1.3.1 Guaymango,7.4,41.48,40.06,48.18,3.58,8.28,64.65,5.9,10.89,3.79,23.01,38.29,5.85,,,
2.1.1.3.2 Jujutla,42.12,74.01,44.27,18.29,102.02,55.42,73.35,252.91,102.59,117.74,29.86,79.74,85.76,,,
2.1.1.3.3 San Francisco Menéndez,310,348.71,352.77,263.71,281.94,281.44,292.09,180.42,273.99,246.6,204.49,212.61,264.76,,,
2.1.1.3.4 San Pedro Puxtla,1.13,0,0,0.06,0,4.08,22.53,0,6.75,0,0,19.68,0,,,
2.1.2 Santa Ana,31138.05,29812.34,32172.88,30911.95,33040.87,29694.26,34159.96,35801.91,31687.38,29395.58,33213.8,30073.92,33827.98,,,
2.1.2.1 Santa Ana Centro,27115.26,26068.64,27983.03,28010.38,30169.85,26644.27,30091.02,31584.29,28095.95,26498.37,28371.12,27419.29,29511.62,,,
2.1.2.1.1 Santa Ana,27115.26,26068.64,27983.03,28010.38,30169.85,26644.27,30091.02,31584.29,28095.95,26498.37,28371.12,27419.29,29511.62,,,
2.1.2.2 Santa Ana Este,464.26,692.3,516.15,488.79,498.1,433.3,357.62,337.84,297.6,456.55,643.71,506.75,334.3,,,
2.1.2.2.1 Coatepeque,386.53,610.7,392.14,440.19,360.51,358.95,242.93,247.6,235.44,314.07,560.85,407.24,238.53,,,
2.1.2.2.2 El Congo,77.72,81.6,124.01,48.6,137.6,74.35,114.69,90.24,62.15,142.48,82.86,99.51,95.77,,,
2.1.2.3 Santa Ana Norte,3021.25,2442.04,3187.67,1885.83,1823.05,2120.5,3137.59,3159.52,2628.15,1719.72,3664.35,1660.21,3406.95,,,
2.1.2.3.1 Masahuat,39.71,27.31,44.93,57.99,61.49,34.3,73.87,41.97,17.89,42.18,11.86,34.5,70.83,,,
2.1.2.3.2 Metapán,2614.42,2098.84,2939.63,1704.14,1562.27,1763.51,2942.98,2863.98,2222.08,1476.96,3353.16,1418.21,3034.1,,,
2.1.2.3.3 Santa Rosa Guachipilín,64.19,56.39,116.32,69.26,63.52,40.13,29.24,46.47,49.62,43,62.49,69.33,103.33,,,
2.1.2.3.4 Texistepeque,302.94,259.5,86.79,54.44,135.77,282.55,91.5,207.09,338.56,157.58,236.85,138.17,198.68,,,
2.1.2.4 Santa Ana Oeste,537.28,609.36,486.04,526.94,549.87,496.19,573.73,720.27,665.69,720.95,534.62,487.67,575.12,,,
2.1.2.4.1 Candelaria de la Frontera,182.62,247.87,150.22,146.05,155.89,191.62,198.03,305.78,182.22,258.26,149.26,156.83,77.34,,,
2.1.2.4.2 Chalchuapa,291.95,274.59,247.03,263.29,272.71,221.27,281.15,331.49,301.45,358.12,303.64,231.37,317.09,,,
2.1.2.4.3 El Porvenir,0,0,0,0,5.45,0,0,0.06,0,0,0,0,0,,,
2.1.2.4.4 San Antonio Pajonal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.1.2.4.5 San Sebastián Salitrillo,0,54.18,8.39,66.44,94.3,33.77,86.23,41.58,47.54,60.48,81.72,70.36,97.03,,,
2.1.2.4.6 Santiago de la Frontera,62.71,32.73,80.4,51.16,21.51,49.53,8.32,41.36,134.47,44.08,0,29.11,83.66,,,
2.1.3 Sonsonate,5078.89,5412.92,6430.75,4008.06,6356.86,5612.26,4942.02,6213.74,6963.51,4892.54,3738.93,4261.62,7056.53,,,
2.1.3.1 Sonsonate Centro,2302.09,2645.94,3678.73,2702.75,3097.63,3809.74,3392.88,2780.7,3000.25,1845.75,2281.8,2289.77,3377.3,,,
2.1.3.1.1 Nahulingo,0,8.08,0,4.82,0,0,0.78,0,0,0.93,0,0,2.43,,,
2.1.3.1.2 San Antonio del Monte,0,2.83,0,0,0,0,4.68,8.49,3.06,1.88,13.71,2.61,0,,,
2.1.3.1.3 Santo Domingo de Guzmán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.1.3.1.4 Sonsonate,2205.19,2568.84,3522.95,2619.54,3010.64,3766.62,3322.27,2711.13,2932.92,1785.61,2217.81,2180.73,3297.48,,,
2.1.3.1.5 Sonzacate,96.9,66.19,155.78,78.38,86.98,43.12,65.14,61.08,64.27,57.34,50.28,106.43,77.4,,,
2.1.3.2 Sonsonate Este,705.33,772.7,946.84,732.39,587.98,642.86,677.77,703.12,775.43,872.06,1178.48,599.16,834.48,,,
2.1.3.2.1 Armenia,99.75,53.17,88.49,64.29,122.22,61.49,89.29,160.05,76.33,48.03,74.76,74.81,78.32,,,
2.1.3.2.2 Caluco,0,0,0,1.64,0,0,0,0,0,1.05,0,1.55,0,,,
2.1.3.2.3 Cuisnahuat,97.52,93.81,61.6,62.14,76.12,79.59,130.3,142.05,180.6,196.29,76.42,180.06,211.03,,,
2.1.3.2.4 Santa Isabel Ishuatán,31.51,21.25,25.73,19.82,32.55,18.9,33.98,29.48,15.29,13.84,25.78,25.5,31.13,,,
2.1.3.2.5 Izalco,472.09,597.47,457.48,535.45,335.16,482.29,421.02,340.7,499.41,588.06,916.42,315.89,508.1,,,
2.1.3.2.6 San Julián,4.45,7,313.55,49.04,21.92,0.59,3.18,30.84,3.8,24.8,85.11,1.35,5.89,,,
2.1.3.3 Sonsonate Norte,272.05,266.53,334.12,180.34,185.4,232.91,255.95,410.14,439.05,155.85,79.84,269.95,197.66,,,
2.1.3.3.1 Juayúa,42.63,48.94,31.11,58.36,42.65,68.97,84.25,58.99,60.9,43.88,43.96,108.14,34.14,,,
2.1.3.3.2 Nahuizalco,182.7,205.83,296.29,121.98,76.8,155.73,144.86,348.19,375.85,89.48,30.57,129.14,116.2,,,
2.1.3.3.3 Salcoatitán,2.63,1.45,3.02,0,3.27,1.62,1.66,2.96,2.3,3.94,1.27,3.78,1.87,,,
2.1.3.3.4 Santa Catarina Masahuat,44.1,10.32,3.7,0,62.67,6.59,25.18,0,0,18.54,4.04,28.89,45.44,,,
2.1.3.4 Sonsonate Oeste,1799.42,1727.75,1471.06,392.58,2485.86,926.74,615.43,2319.79,2748.77,2018.88,198.81,1102.74,2647.09,,,
2.1.3.4.1 Acajutla,1799.42,1727.75,1471.06,392.58,2485.86,926.74,615.43,2319.79,2748.77,2018.88,198.81,1102.74,2647.09,,,
2.2 Zona Central,1336359.35,1329062.14,1412146.98,1274207.34,1552838.61,1269878.13,1338722.07,1398690.3,1336788.14,1405465.38,1210051.64,1206405.26,1530872.37,,,
2.2.1 Chalatenango,4461.99,3215,3558.26,3208.64,3966.47,2910.92,3574.5,3203.18,2856.86,2713.13,3369.03,3381.49,3234.6,,,
2.2.1.1 Chalatenango Centro,1532.01,985.94,1239.79,1248.25,1793.64,1233.72,1671.13,1230.04,1312.62,712.91,1738.89,1226.52,900.52,,,
2.2.1.1.1 Agua Caliente,67.26,179.46,0.35,73.89,38.12,32.12,166.55,73.27,91.87,90.16,1.96,21.48,38.63,,,
2.2.1.1.2 Dulce Nombre de María,12.53,13.5,69.49,39.27,8.65,27.21,20.8,9.76,4.11,11.3,88.83,120.26,46.18,,,
2.2.1.1.3 El Paraíso,16.93,14.76,11.37,14.97,11.37,9.89,18.97,23.9,30.01,11.35,35.42,21.76,11.19,,,
2.2.1.1.4 La Reina,766.62,566.73,834.48,765.37,925.91,990.39,684.21,456.05,684.46,1.93,993.02,634.01,347.18,,,
2.2.1.1.5 Nueva Concepción,52.11,44.01,80.6,94.24,51.12,28.17,81.4,39.09,33.18,243.95,67.97,49.52,36.12,,,
2.2.1.1.6 San Fernando,80.25,101.64,99.61,85.02,71.64,76.04,97.36,124.23,62.93,89.47,81.17,70.96,93.21,,,
2.2.1.1.7 San Francisco Morazán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.2.1.1.8 San Rafael,480.52,40.67,131.39,29.48,590.21,49.05,524.14,457.63,339.99,227.24,355.01,227.71,173.51,,,
2.2.1.1.9 Santa Rita,2.15,0,11.49,0.36,0,0.67,0.38,3,0.81,0,27.74,0.28,0,,,
2.2.1.1.10 Tejutla,53.65,25.17,1.01,145.65,96.61,20.18,77.32,43.11,65.26,37.51,87.77,80.55,154.49,,,
2.2.1.2 Chalatenango Norte,1422.98,1346.61,1090.38,1057.25,1040.97,913.06,859.78,895.51,660.15,924.61,635.75,1268.23,1304.37,,,
2.2.1.2.1 Citalá,1085.18,993.3,698.7,748.63,693.08,618.6,594.66,552.61,400.18,585.37,407.53,837.34,908.36,,,
2.2.1.2.2 La Palma,135.28,125.52,133.86,142.69,166.18,102.24,87.04,115.8,109.95,111.69,95.41,143.6,135.17,,,
